index	l_pup_cent_x	l_pup_cent_y	l_pup_cent_z	l_pup_cent_val	l_pup_diam	l_pup_diam_val	l_gaze_dir_x	l_gaze_dir_y	l_gaze_dir_z	l_gaze_dir_val	r_pup_cent_x	r_pup_cent_y	r_pup_cent_z	r_pup_cent_val	r_pup_diam	r_pup_diam_val	r_gaze_dir_x	r_gaze_dir_y	r_gaze_dir_z	r_gaze_dir_val	gaze_pos_x	gaze_pos_y	gaze_pos_val	3d_gaze_pos_x	3d_gaze_pos_y	3d_gaze_pos_z	3d_gaze_pos_val	vts_time	seconds
120391717	30.99	-28.99	-35.75	0.0	3.3	0.0	-0.2591	-0.4944	0.8298	0.0																			0.0
120411717	31.0	-28.99	-35.75	0.0	3.3	0.0	-0.2598	-0.4953	0.829	0.0																			0.02
120431707	30.99	-29.0	-35.72	0.0	3.37	0.0	-0.2647	-0.5028	0.8229	0.0																			0.03999
120451707	30.99	-29.01	-35.71	0.0	3.36	0.0	-0.2642	-0.501	0.8242	0.0																			0.05999
120471697	30.98	-29.01	-35.71	0.0	3.37	0.0	-0.2639	-0.5	0.8249	0.0																			0.07998
120491697	30.99	-29.02	-35.69	0.0	3.36	0.0	-0.2663	-0.4967	0.8261	0.0	-34.29	-26.67	-35.11	0.0	3.87	0.0	-0.0841	-0.5083	0.8571	0.0									0.09998
120511687	30.98	-29.03	-35.68	0.0	3.33	0.0	-0.2678	-0.4955	0.8263	0.0																			0.11997
120531687	30.98	-29.03	-35.69	0.0	3.34	0.0	-0.2656	-0.4969	0.8262	0.0																			0.13997
120551677	30.97	-29.04	-35.68	0.0	3.31	0.0	-0.2627	-0.494	0.8288	0.0																			0.15996
120571677	30.97	-29.04	-35.69	0.0	3.35	0.0	-0.2625	-0.4952	0.8281	0.0																			0.17996
120591667	30.96	-29.04	-35.69	0.0	3.33	0.0	-0.262	-0.4931	0.8296	0.0																			0.19995
120611667	30.95	-29.05	-35.69	0.0	3.32	0.0	-0.2616	-0.4922	0.8302	0.0																			0.21995
120631657	31.21	-29.0	-35.78	0.0	3.5	0.0	-0.1952	-0.4757	0.8577	0.0																			0.23994
