camX,camY,camZ,camTheta,camRX,camRY,camRZ,obj_gazeX,obj_gazeY,obj_gazeZ
55.158,32.147,-194.647,0.294,-0.909,-0.397,0.108,-11.370,76.340,0.000
55.481,32.212,-194.242,0.294,-0.906,-0.403,0.109,-7.430,75.840,0.000
56.043,32.342,-193.484,0.294,-0.901,-0.414,0.110,-4.380,80.060,0.000
56.704,32.525,-192.454,0.295,-0.894,-0.428,0.112,-3.720,82.000,0.000
57.304,32.735,-191.240,0.295,-0.887,-0.443,0.113,-4.050,82.330,0.000
57.714,32.926,-189.909,0.295,-0.879,-0.457,0.114,-3.380,84.390,0.000
57.860,33.058,-188.505,0.296,-0.873,-0.469,0.113,-1.720,88.490,0.000
57.747,33.107,-187.056,0.298,-0.868,-0.479,0.109,0.610,87.330,0.000
57.448,33.079,-185.571,0.301,-0.865,-0.487,0.104,1.720,86.660,0.000
57.088,33.005,-184.053,0.305,-0.863,-0.493,0.095,2.390,86.880,0.000
56.803,32.926,-182.493,0.310,-0.861,-0.498,0.084,3.380,84.940,0.000
56.704,32.880,-180.878,0.314,-0.858,-0.504,0.070,3.940,83.660,0.000
56.833,32.906,-179.204,0.318,-0.855,-0.511,0.054,2.550,83.280,0.000
57.153,33.035,-177.481,0.321,-0.849,-0.520,0.037,3.160,81.940,0.000
57.551,33.287,-175.739,0.321,-0.843,-0.530,0.021,3.880,81.110,0.000
57.874,33.652,-174.021,0.319,-0.836,-0.540,0.006,3.830,78.060,0.000
57.984,34.084,-172.364,0.315,-0.832,-0.546,-0.007,4.830,76.730,0.000
57.795,34.508,-170.790,0.307,-0.830,-0.547,-0.018,7.490,75.180,0.000
57.307,34.850,-169.296,0.299,-0.833,-0.541,-0.025,11.650,75.620,0.000
56.589,35.067,-167.859,0.290,-0.840,-0.528,-0.031,15.420,76.340,0.000
55.752,35.158,-166.455,0.281,-0.850,-0.509,-0.034,19.200,75.120,0.000
54.896,35.152,-165.063,0.273,-0.863,-0.487,-0.036,21.190,75.560,0.000
54.094,35.083,-163.676,0.267,-0.876,-0.462,-0.037,22.640,72.730,0.000
53.389,34.968,-162.283,0.263,-0.889,-0.437,-0.036,23.690,70.630,0.000
52.815,34.805,-160.870,0.261,-0.901,-0.413,-0.032,25.240,67.630,0.000
52.407,34.585,-159.413,0.261,-0.912,-0.392,-0.026,26.240,68.570,0.000
52.194,34.315,-157.890,0.263,-0.920,-0.377,-0.017,26.520,69.070,0.000
52.179,34.028,-156.296,0.267,-0.925,-0.367,-0.005,26.350,68.020,0.000
52.329,33.774,-154.639,0.272,-0.928,-0.364,0.007,25.350,66.080,0.000
52.587,33.598,-152.943,0.276,-0.927,-0.366,0.019,24.630,66.350,0.000
52.893,33.517,-151.234,0.279,-0.925,-0.372,0.032,24.630,64.300,0.000
53.196,33.512,-149.532,0.282,-0.922,-0.381,0.043,37.280,59.200,0.000
53.465,33.536,-147.850,0.284,-0.917,-0.391,0.053,41.890,52.540,0.000
53.686,33.536,-146.195,0.285,-0.913,-0.400,0.062,42.940,49.040,0.000
53.861,33.473,-144.569,0.287,-0.909,-0.409,0.070,41.670,49.600,0.000
53.998,33.330,-142.972,0.289,-0.906,-0.416,0.075,40.060,49.490,0.000
54.109,33.113,-141.405,0.291,-0.903,-0.421,0.078,39.390,51.490,0.000
54.197,32.841,-139.867,0.294,-0.901,-0.426,0.078,38.060,53.650,0.000
54.259,32.543,-138.362,0.298,-0.899,-0.429,0.074,36.280,54.430,0.000
54.280,32.255,-136.892,0.302,-0.897,-0.432,0.068,36.280,50.710,0.000
54.244,32.009,-135.462,0.306,-0.896,-0.435,0.059,34.790,49.540,0.000
54.138,31.825,-134.072,0.309,-0.896,-0.437,0.048,25.470,45.600,0.000
53.955,31.708,-132.724,0.312,-0.895,-0.439,0.036,18.090,58.250,0.000
53.692,31.642,-131.418,0.315,-0.895,-0.439,0.024,17.140,60.810,0.000
53.357,31.602,-130.153,0.317,-0.897,-0.437,0.013,16.140,61.360,0.000
52.966,31.566,-128.926,0.319,-0.898,-0.433,0.002,16.200,61.250,0.000
52.545,31.515,-127.729,0.321,-0.901,-0.428,-0.009,15.760,61.580,0.000
52.124,31.446,-126.556,0.324,-0.905,-0.420,-0.020,16.640,61.530,0.000
51.725,31.362,-125.401,0.327,-0.908,-0.412,-0.032,17.750,61.580,0.000
51.355,31.267,-124.263,0.330,-0.912,-0.404,-0.044,17.750,63.580,0.000
51.007,31.168,-123.145,0.334,-0.915,-0.395,-0.057,17.700,66.130,0.000
50.670,31.076,-122.052,0.338,-0.918,-0.387,-0.068,17.310,66.740,0.000
50.338,31.006,-120.988,0.343,-0.922,-0.378,-0.078,17.030,67.080,0.000
50.022,30.985,-119.951,0.347,-0.925,-0.369,-0.084,17.140,68.240,0.000
49.749,31.036,-118.933,0.351,-0.928,-0.361,-0.087,17.640,69.520,0.000
49.546,31.168,-117.929,0.354,-0.931,-0.355,-0.088,18.970,70.680,0.000
49.436,31.366,-116.932,0.357,-0.932,-0.351,-0.086,18.640,70.520,0.000
49.424,31.597,-115.942,0.358,-0.934,-0.349,-0.082,19.090,70.180,0.000
49.500,31.821,-114.962,0.359,-0.934,-0.349,-0.076,20.310,69.460,0.000
49.648,32.011,-114.000,0.360,-0.934,-0.351,-0.069,21.190,68.800,0.000
49.849,32.155,-113.060,0.360,-0.933,-0.355,-0.060,21.800,69.240,0.000
50.088,32.252,-112.145,0.360,-0.932,-0.359,-0.048,22.250,69.850,0.000
50.356,32.304,-111.256,0.361,-0.931,-0.364,-0.035,22.250,69.070,0.000
50.645,32.316,-110.393,0.362,-0.929,-0.369,-0.021,22.300,67.020,0.000
50.945,32.291,-109.555,0.362,-0.928,-0.374,-0.006,22.410,65.020,0.000
51.245,32.234,-108.747,0.363,-0.926,-0.379,0.007,23.020,63.360,0.000
51.529,32.162,-107.975,0.365,-0.924,-0.385,0.018,23.520,63.470,0.000
51.779,32.097,-107.247,0.365,-0.922,-0.390,0.024,23.470,63.410,0.000
51.981,32.075,-106.577,0.366,-0.920,-0.395,0.026,23.690,62.860,0.000
52.123,32.130,-105.978,0.365,-0.918,-0.400,0.025,24.580,62.080,0.000
52.199,32.291,-105.459,0.362,-0.916,-0.404,0.019,23.860,60.470,0.000
52.205,32.565,-105.027,0.357,-0.915,-0.406,0.011,23.580,59.920,0.000
52.142,32.925,-104.684,0.348,-0.915,-0.404,0.001,23.750,58.810,0.000
52.010,33.311,-104.421,0.337,-0.916,-0.398,-0.009,23.910,56.480,0.000
51.810,33.649,-104.230,0.323,-0.920,-0.383,-0.019,24.860,53.370,0.000
51.547,33.866,-104.093,0.308,-0.926,-0.360,-0.026,26.350,51.870,0.000
51.229,33.922,-103.998,0.294,-0.935,-0.329,-0.030,28.350,49.820,0.000
50.876,33.813,-103.927,0.280,-0.946,-0.290,-0.031,29.460,50.040,0.000
50.515,33.572,-103.869,0.269,-0.957,-0.247,-0.028,31.180,51.490,0.000
50.179,33.255,-103.811,0.259,-0.968,-0.203,-0.023,31.680,52.600,0.000
49.892,32.923,-103.746,0.252,-0.978,-0.161,-0.015,31.850,51.540,0.000
49.662,32.620,-103.672,0.245,-0.986,-0.124,-0.006,32.400,51.430,0.000
49.487,32.375,-103.590,0.240,-0.991,-0.091,0.003,31.850,48.880,0.000
49.353,32.198,-103.504,0.235,-0.995,-0.064,0.012,42.550,51.710,0.000
49.246,32.081,-103.420,0.230,-0.997,-0.040,0.019,44.330,50.380,0.000
49.156,32.012,-103.341,0.226,-0.999,-0.021,0.026,43.660,50.150,0.000
49.082,31.974,-103.270,0.222,-0.999,-0.004,0.032,44.880,49.210,0.000
49.022,31.950,-103.207,0.219,-1.000,0.010,0.037,46.220,48.770,0.000
48.977,31.932,-103.152,0.216,-1.000,0.021,0.041,54.370,37.230,0.000
48.941,31.914,-103.102,0.213,-1.000,0.031,0.045,62.690,32.070,0.000
48.908,31.898,-103.058,0.211,-0.999,0.040,0.049,63.860,29.680,0.000
